Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P63165|SUMO1_HUMAN;sp|G2XKQ0|SUMO5_HUMAN	sp|P63165|SUMO1_HUMAN;sp|G2XKQ0|SUMO5_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1;sp|G2XKQ0|SUMO5_HUMAN Small ubiquitin-related modifier 5 OS=Homo sapiens OX=9606 GN=SUMO1P1 PE=1 SV=2	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	11.9	11.9	11.9	11.557	101	101;101	0	7.1016	0	0	0	11.9	0	0	124990	0	0	0	124990	0	0	0	0	0	20782	0	0	0	0	0	1	0	0	1				28	1677	True	1705	2562	2656	2656		
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN	sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN	2;2	2;2	2;2	0		0		0		0		0		0		0		sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2;sp|Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1	2	2	2	2	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	4.7	4.7	4.7	49.129	427	427;428	0	15.727	0	0	0	0	4.7	2.8	1029100	0	0	0	0	601770	427360	0	0	0	0	0	68221	0	0	0	0	2	1	3				29	371;1024	True;True	378;1044	585;1606;1607	604;1671;1672	604;1672		
sp|O00231|PSD11_HUMAN	sp|O00231|PSD11_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3.3	3.3	3.3	47.463	422	422	0	7.2452	0	0	0	0	3.3	0	135100	0	0	0	0	135100	0	0	0	0	0	11721	0	0	0	0	0	1	0	1				30	1315	True	1338	2025	2099	2099		
sp|O00264|PGRC1_HUMAN	sp|O00264|PGRC1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	4.1	4.1	4.1	21.671	195	195	0	17.495	0	0	0	4.1	0	4.1	157710	0	0	0	100510	0	57199	0	0	0	0	0	9130.8	0	0	0	1	0	1	2				31	716	True	729	1106;1107	1149;1150	1149		
sp|O00299|CLIC1_HUMAN	sp|O00299|CLIC1_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4	1	3	3	3	0	0	0	2	3	0	0	0	0	2	3	0	0	0	0	2	3	0	10.8	10.8	10.8	26.922	241	241	0	23.429	0	0	0	7.1	10.8	0	3984100	0	0	0	1169600	2814500	0	0	0	0	230490	208150	0	0	0	0	1	2	0	3				32	526;914;1830	True;True;True	535;933;1863	808;809;1436;2813;2814	834;835;1496;2915;2916	834;1496;2915		
sp|O00303|EIF3F_HUMAN	sp|O00303|EIF3F_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	1	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	7.8	7.8	7.8	37.563	357	357	0	11.89	0	0	0	0	7.8	0	254530	0	0	0	0	254530	0	0	0	0	0	22082	0	0	0	0	0	2	0	2				33	1676;1678	True;True	1704;1706	2561;2563	2655;2657	2655;2657		
sp|O00401|WASL_HUMAN	sp|O00401|WASL_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00401|WASL_HUMAN Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3.4	3.4	3.4	54.826	505	505	1	-2	0	0	0	0	3.4	0	141660	0	0	0	0	141660	0	0	0	0	0	12290	0	0	0	0	0	0	0	0	+			34	786	True	800	1221	1269	1269	12	41
sp|O00410|IPO5_HUMAN	sp|O00410|IPO5_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.5	1.5	1.5	123.63	1097	1097	0	24.877	0	0	0	0	1.5	0	290850	0	0	0	0	290850	0	0	0	0	0	25233	0	0	0	0	0	1	0	1				35	145	True	148	247	254	254		
sp|O00472|ELL2_HUMAN	sp|O00472|ELL2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00472|ELL2_HUMAN RNA polymerase II elongation factor ELL2 OS=Homo sapiens OX=9606 GN=ELL2 PE=1 SV=2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1.4	1.4	1.4	72.324	640	640	0.0093313	5.7905	0	0	0	0	0	1.4	64069	0	0	0	0	0	64069	0	0	0	0	0	10228	0	0	0	0	0	1	1				36	4	True	4	5	5	5		
sp|O00541|PESC_HUMAN	sp|O00541|PESC_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.7	1.7	1.7	68.002	588	588	0.0092736	5.7884	0	0	0	0	1.7	0	108690	0	0	0	0	108690	0	0	0	0	0	9429.4	0	0	0	0	0	1	0	1				37	823	True	837	1276	1326	1326		
sp|O15523|DDX3Y_HUMAN;sp|O00571|DDX3X_HUMAN	sp|O15523|DDX3Y_HUMAN;sp|O00571|DDX3X_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|O15523|DDX3Y_HUMAN ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2;sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	2	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.7	1.7	1.7	73.153	660	660;662	0.006483	5.8504	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				38	1662	True	1690	2541	2633	2633		
sp|O00625|PIR_HUMAN	sp|O00625|PIR_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|O00625|PIR_HUMAN Pirin OS=Homo sapiens OX=9606 GN=PIR PE=1 SV=1	1	2	2	2	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	5.9	5.9	5.9	32.113	290	290	0	11.672	0	0	0	5.9	0	3.1	357500	0	0	0	280410	0	77097	0	0	0	46624	0	0	0	0	0	2	0	1	3				39	1561;1760	True;True	1589;1790	2399;2400;2705	2484;2485;2806	2484;2806		
sp|O00629|IMA3_HUMAN	sp|O00629|IMA3_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2.7	2.7	2.7	57.886	521	521	0	6.3457	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				40	665	True	676	1014	1045	1045		
sp|O00635|TRI38_HUMAN	sp|O00635|TRI38_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00635|TRI38_HUMAN E3 ubiquitin-protein ligase TRIM38 OS=Homo sapiens OX=9606 GN=TRIM38 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.9	1.9	1.9	53.415	465	465	1	-2	0	0	0	0	1.9	0	185920	0	0	0	0	185920	0	0	0	0	0	16130	0	0	0	0	0	1	0	1	+			41	1079	True	1099	1686	1752	1752	13	1
sp|Q13085|ACACA_HUMAN;sp|O00763|ACACB_HUMAN	sp|Q13085|ACACA_HUMAN;sp|O00763|ACACB_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	265.55	2346	2346;2458	0	6.9073	0	0	0	1	0	0	48145	0	0	0	48145	0	0	0	0	0	8005.2	0	0	0	0	0	1	0	0	1				42	772	True	786	1206	1253	1253		
sp|O00764|PDXK_HUMAN	sp|O00764|PDXK_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	3.2	3.2	3.2	35.102	312	312	0	7.8301	0	0	0	3.2	3.2	0	151960	0	0	0	78585	73373	0	0	0	0	0	6365.5	0	0	0	0	1	1	0	2				43	1712	True	1742	2626;2627	2724;2725	2725		
sp|P47813|IF1AX_HUMAN;sp|O14602|IF1AY_HUMAN	sp|P47813|IF1AX_HUMAN;sp|O14602|IF1AY_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P47813|IF1AX_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2;sp|O14602|IF1AY_HUMAN Eukaryotic translation initiation factor 1A, Y-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AY PE=1 SV=4	2	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	7.6	7.6	7.6	16.46	144	144;144	0	6.1018	0	0	0	0	7.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				44	334	True	340	533	552	552		
sp|O14737|PDCD5_HUMAN	sp|O14737|PDCD5_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	5.6	5.6	5.6	14.285	125	125	0.004894	5.859	0	0	0	5.6	5.6	5.6	374610	0	0	0	99645	139170	135800	0	0	0	0	0	21678	0	0	0	1	1	1	3				45	829	True	843	1284;1285;1286	1334;1335;1336	1334		
sp|O14745|NHRF1_HUMAN	sp|O14745|NHRF1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	4.7	4.7	4.7	38.868	358	358	0	6.6438	0	0	0	0	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				46	321	True	327	512	530	530		
sp|O14776|TCRG1_HUMAN	sp|O14776|TCRG1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1.1	1.1	1.1	123.9	1098	1098	0	7.1199	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				47	322	True	328	513	531	531		
sp|P19105|ML12A_HUMAN;sp|O14950|ML12B_HUMAN	sp|P19105|ML12A_HUMAN;sp|O14950|ML12B_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	6.4	6.4	6.4	19.794	171	171;172	0	10.768	0	0	0	6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				48	485	True	493	752	778	778		
sp|O14979|HNRDL_HUMAN	sp|O14979|HNRDL_HUMAN	2	1	1	0		0		0		0		0		0		0		sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3	1	2	1	1	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	1	1	0	5.5	3.6	3.6	46.437	420	420	0	9.0455	0	0	0	3.6	5.5	0	371780	0	0	0	147730	224050	0	0	0	0	0	19437	0	0	0	0	1	1	0	2				49	520;523	True;False	529;532	800;801;805	826;827;831	827;831		
sp|O15067|PUR4_HUMAN	sp|O15067|PUR4_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O15067|PUR4_HUMAN Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1.4	1.4	1.4	144.73	1338	1338	0	39.814	0	0	0	1.4	1.4	1.4	500810	0	0	0	151530	219280	130000	0	0	0	0	0	20752	0	0	0	1	1	1	3				50	1176	True	1198	1823;1824;1825	1892;1893;1894	1892		
sp|O15144|ARPC2_HUMAN	sp|O15144|ARPC2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O15144|ARPC2_HUMAN Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4.7	4.7	4.7	34.333	300	300	0	10.15	0	0	0	4.7	0	0	82955	0	0	0	82955	0	0	0	0	0	13793	0	0	0	0	0	1	0	0	1				51	1805	True	1837	2776	2877	2877		
sp|O15145|ARPC3_HUMAN	sp|O15145|ARPC3_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	6.2	6.2	6.2	20.546	178	178	0	6.2358	0	0	0	0	0	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				52	1646	True	1674	2519	2610	2610		
sp|O15173|PGRC2_HUMAN	sp|O15173|PGRC2_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1	1	2	2	2	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	7.6	7.6	7.6	23.818	223	223	0	11.692	0	0	0	7.6	3.6	3.6	766660	0	0	0	175840	400460	190370	0	0	0	0	0	30389	0	0	0	3	1	1	5				53	715;1314	True;True	728;1337	1103;1104;1105;2024	1145;1146;1147;1148;2098	1146;2098		
sp|O15371|EIF3D_HUMAN	sp|O15371|EIF3D_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.8	1.8	1.8	63.972	548	548	0	8.1081	0	0	0	0	1.8	0	134920	0	0	0	0	134920	0	0	0	0	0	11705	0	0	0	0	0	1	0	1				54	897	True	916	1402	1459	1459		
sp|O43143|DHX15_HUMAN	sp|O43143|DHX15_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	2.6	2.6	2.6	90.932	795	795	0	11.767	0	0	0	0.9	1.8	0	97509	0	0	0	97509	0	0	0	0	0	16213	0	0	0	0	0	1	1	0	2				55	486;623	True;True	494;634	753;953	779;983	779;983		
sp|O43175|SERA_HUMAN	sp|O43175|SERA_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2.3	2.3	2.3	56.65	533	533	0	6.1587	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2				56	717	True	730	1108;1109	1151;1152	1152		
sp|O43390|HNRPR_HUMAN	sp|O43390|HNRPR_HUMAN	4	4	3	0		0		0		0		0		0		0		sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1	1	4	4	3	0	0	0	4	2	1	0	0	0	4	2	1	0	0	0	3	1	1	7.9	7.9	6	70.942	633	633	0	30.37	0	0	0	7.9	3.8	1.4	535700	0	0	0	117870	299490	118330	0	0	0	19599	0	0	0	0	0	4	3	1	8				57	398;612;1521;1749	True;True;True;True	405;623;1548;1779	621;622;936;937;938;2334;2335;2689	642;643;966;967;968;2415;2416;2789	643;967;2415;2789		
sp|O43396|TXNL1_HUMAN	sp|O43396|TXNL1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	7.6	7.6	7.6	32.251	289	289	0.0017825	5.9958	0	0	0	7.6	0	0	98153	0	0	0	98153	0	0	0	0	0	16320	0	0	0	0	0	1	0	0	1				58	1664	True	1692	2544	2636	2636		
sp|O43399|TPD54_HUMAN	sp|O43399|TPD54_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	4.4	4.4	4.4	22.237	206	206	0	8.0474	0	0	0	4.4	4.4	0	517720	0	0	0	172690	345030	0	0	0	0	0	29933	0	0	0	0	1	1	0	2				59	1633	True	1661	2504;2505	2595;2596	2596		
sp|O43707|ACTN4_HUMAN;sp|Q08043|ACTN3_HUMAN;sp|P35609|ACTN2_HUMAN;sp|Q9H254|SPTN4_HUMAN	sp|O43707|ACTN4_HUMAN	18;6;5;1	18;6;5;1	9;0;0;1	0		0		0		0		0		0		0		sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	4	18	18	9	0	0	0	8	12	4	0	0	0	8	12	4	0	0	0	5	5	0	23.3	23.3	11.3	104.85	911	911;901;894;2564	0	323.31	0	0	0	11.3	15.7	5.6	9752100	0	0	0	975120	8478500	298470	0	0	0	433510	464180	0	0	0	0	9	13	4	26				60	58;75;82;137;236;353;440;597;969;1014;1059;1135;1136;1198;1241;1510;1535;1688	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	60;77;84;140;240;359;447;608;989;1034;1079;1157;1158;1220;1263;1537;1562;1716;1717	98;127;128;140;141;228;229;230;387;556;680;914;1519;1587;1661;1761;1762;1853;1912;2318;2319;2358;2578;2579	100;129;130;142;143;233;234;235;236;403;575;702;944;1581;1652;1726;1828;1829;1830;1923;1982;2399;2400;2440;2672;2673	100;129;143;234;403;575;702;944;1581;1652;1726;1829;1830;1923;1982;2400;2440;2672	14;15	258;295
sp|O43852|CALU_HUMAN	sp|O43852|CALU_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|O43852|CALU_HUMAN Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2	1	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	9.2	9.2	9.2	37.106	315	315	0	13.736	0	0	0	4.1	0	5.1	576840	0	0	0	142790	0	434060	0	0	0	0	0	69290	0	0	0	1	0	1	2				61	343;1506	True;True	349;1533	543;2311	562;2392	562;2392		
sp|O43865|SAHH2_HUMAN;sp|Q96HN2|SAHH3_HUMAN	sp|O43865|SAHH2_HUMAN;sp|Q96HN2|SAHH3_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1	2	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	2.3	2.3	2.3	58.951	530	530;611	0	6.4207	0	0	0	2.3	0	2.3	130450	0	0	0	71496	0	58951	0	0	0	0	0	9410.6	0	0	0	1	0	1	2				62	542	True	551	830;831	856;857	857		
sp|O60506|HNRPQ_HUMAN	sp|O60506|HNRPQ_HUMAN	3	2	2	0		0		0		0		0		0		0		sp|O60506|HNRPQ_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2	1	3	2	2	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	2	0	6.3	4.3	4.3	69.602	623	623	0	11.251	0	0	0	1.9	6.3	0	712360	0	0	0	0	712360	0	0	0	0	0	61800	0	0	0	0	0	2	0	2				63	403;1521;1748	True;False;True	410;1548;1778	630;2334;2335;2688	652;2415;2416;2788	652;2415;2788		
sp|O60701|UGDH_HUMAN	sp|O60701|UGDH_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|O60701|UGDH_HUMAN UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1	1	4	4	4	0	0	0	1	3	1	0	0	0	1	3	1	0	0	0	1	3	1	9.9	9.9	9.9	55.023	494	494	0	28.095	0	0	0	2	7.9	2	406420	0	0	0	74485	331940	0	0	0	0	0	28797	0	0	0	0	1	3	1	5				64	405;641;824;1763	True;True;True;True	412;652;838;1793	632;980;1277;1278;2708	654;1011;1327;1328;2809	654;1011;1328;2809		
sp|O60716|CTND1_HUMAN	sp|O60716|CTND1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.5	1.5	1.5	108.17	968	968	0	8.0016	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				65	97	True	99	165	167	167		
sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q96A08|H2B1A_HUMAN	sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN	4;4;4;4;4;4;4;4;4;1	4;4;4;4;4;4;4;4;4;1	2;2;2;2;2;2;2;2;2;0	0		0		0		0		0		0		0		sp|Q99880|H2B1L_HUMAN Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3;sp|Q99879|H2B1M_HUMAN Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=H2BC14 PE=1 SV=3;sp|Q99877|H2B1N_HUMAN Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 	10	4	4	2	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	1	1	0	28.6	28.6	7.9	13.952	126	126;126;126;126;126;126;126;126;126;127	0	84.127	0	0	0	16.7	19	11.9	14613000	0	0	0	2859900	11473000	279940	0	0	0	475520	0	0	0	0	0	2	3	2	7				66	103;417;802;1298	True;True;True;True	105;106;424;816;1321	172;173;174;175;176;647;1243;2000	174;175;176;177;178;669;1292;2071	175;669;1292;2071	16;17	60;63
sp|O60832|DKC1_HUMAN	sp|O60832|DKC1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2.1	2.1	2.1	57.673	514	514	0	6.0723	0	0	0	0	2.1	0	64980	0	0	0	0	64980	0	0	0	0	0	5637.3	0	0	0	0	0	1	0	1				67	1238	True	1260	1908	1978	1978		
